pergunta,resposta_correta,opção1,opção2,opção3,opção4
Qual é a capital do Brasil?,Brasília,São Paulo,Rio de Janeiro,Brasília,Salvador
Quem pintou a Mona Lisa?,Leonardo da Vinci,Picasso,Leonardo da Vinci,Van Gogh,Monet
Qual é o maior planeta do sistema solar?,Júpiter,Terra,Marte,Júpiter,Vênus
Em que ano o homem pisou na Lua pela primeira vez?,1969,1965,1967,1969,1971
Qual é o elemento químico representado pela letra O?,Oxigênio,Oxigênio,Ouro,Ósmio,Óxido
Qual é a fórmula química da água?,H2O,CO2,H2O,NaCl,O2
Quem escreveu "Dom Quixote"?,Miguel de Cervantes,William Shakespeare,Miguel de Cervantes,Charles Dickens,Victor Hugo
Qual é o menor país do mundo?,Vaticano,Monaco,Vaticano,San Marino,Liechtenstein
Quantos continentes existem?,7,5,6,7,8
Qual é a velocidade da luz no vácuo?,299792458 m/s,300000 km/s,299792458 m/s,150000 km/s,500000 km/s


